id,link,name,surname,team_id
607,rider/David_Gaudu,DAVID,GAUDU,12
295,rider/Marcus_Burghardt,MARCUS,BURGHARDT,3
112,rider/William_Clarke,WILLIAM,CLARKE,15
363,rider/Gijs_Van_Hoecke,GIJS,VAN HOECKE,14
755,rider/Romain_Guillemois,ROMAIN,GUILLEMOIS,28
285,rider/Oliver_naesen,OLIVER,NAESEN,19
351,rider/Marco_Coledan,MARCO,COLEDAN,8
20,rider/Tiago_Machado,TIAGO,MACHADO,7
317,rider/Jos_Van_Emden,JOS,VAN EMDEN,14
194,rider/Steven_Kruijswijk,STEVEN,KRUIJSWIJK,14
1105,rider/Juan_Pablo_Valencia,JUAN PABLO,VALENCIA,77
759,rider/Benjamin_Declercq,BENJAMIN,DECLERCQ,33
1129,rider/Pieter_Jacobs,PIETER,JACOBS,61
526,rider/Mikel_Landa,MIKEL,LANDA,2
345,rider/Hugo_Houle,HUGO,HOULE,19
1186,rider/Romain_Feillu,ROMAIN,FEILLU,72
832,rider/Lars_Petter_nordhaug,LARS PETTER,NORDHAUG,22
530,rider/Davide_Ballerini,DAVIDE,BALLERINI,36
616,rider/Leszek_Plucinski,LESZEK,PLUCINSKI,40
800,rider/Rudiger_Selig,RÃ¼DIGER,SELIG,3
1078,rider/Edward_King,EDWARD,KING,70
859,rider/Cheng_Ji,CHENG,JI,53
342,rider/Gregory_Rast,GREGORY,RAST,8
348,rider/Franck_Bonnamour,FRANCK,BONNAMOUR,31
950,rider/Pawel_Franczak,PAWEÅ‚,FRANCZAK,59
630,rider/Ruben_Plaza,RUBéN,PLAZA,1
291,rider/Philippe_Gilbert,PHILIPPE,GILBERT,17
152,rider/Taco_Van_Der_Hoorn,TACO,VAN DER HOORN,24
944,rider/Sander_Armee,SANDER,ARMÃ©E,10
1169,rider/Darren_Lapthorne,DARREN,LAPTHORNE,50
956,rider/Sebastien_Chavanel,SÃ©BASTIEN,CHAVANEL,12
552,rider/Lukasz_Wisniowski,ÅUKASZ,WIÅ›NIOWSKI,2
720,rider/Mathias_Le_Turnier,MATTHIAS,LE TURNIER,32
476,rider/Cyril_Lemoine,CYRIL,LEMOINE,32
1046,rider/Alexander_Kamp,ALEXANDER,KAMP,67
986,rider/Shane_Archbold,SHANE,ARCHBOLD,56
621,rider/Antonio_Piedra,ANTONIO,PIEDRA,42
128,rider/Bert_Jan_Lindeman,BERT-JAN,LINDEMAN,14
10,rider/Sean_De_Bie,SEAN,DE BIE,10
1262,rider/Emanuele_Sella,EMANUELE,SELLA,91
79,rider/Artyom_Zakharov,ARTYOM,ZAKHAROV,16
1001,rider/Valentin_Baillifard,VALENTIN,BAILLIFARD,63
537,rider/William_Bonnet,WILLIAM,BONNET,12
124,rider/Tyler_Farrar,TYLER,FARRAR,11
1127,rider/Edward_Fabian_Diaz,EDWARD FABIÃ¡N,DÃ­AZ,77
59,rider/Matteo_Montaguti,MATTEO,MONTAGUTI,19
395,rider/nils_Politt,NILS,POLITT,7
211,rider/Julian_David_Arredondo,JULIáN DAVID,ARREDONDO,26
1008,rider/Liam_Bertazzo,LIAM,BERTAZZO,58
1130,rider/John_Gadret,JOHN,GADRET,13
475,rider/Geoffrey_Soupe,GEOFFREY,SOUPE,32
801,rider/Gregory_Henderson,GREGORY,HENDERSON,21
461,rider/Tom_Leezer,TOM,LEEZER,14
1158,rider/Alessandro_Malaguti,ALESSANDRO,MALAGUTI,26
471,rider/David_Lopez,DAVID,LOPEZ,2
1245,rider/Edwig_Cammaerts,EDWIG,CAMMAERTS,32
1197,rider/Danilo_Hondo,DANILO,HONDO,69
545,rider/Aleksejs_Saramotins,ALEKSEJS,SARAMOTINS,3
1085,rider/Jens_Mouris,JENS,MOURIS,46
