
Stage: 0
CHRIS FROOME,15
MICHAEL MATTHEWS,15
TONY MARTIN,15
PRIMOZ ROGLIC,15
VASIL KIRYIENKA,15
FABIO FELLINE,15
ANDREY AMADOR,15
STEVE CUMMINGS,15
SIMON CLARKE,15
JONATHAN CASTROVIEJO NICOLAS,15
MACIEJ BODNAR,15
VEGARD STAKE LAENGEN,15
JULIEN VERMOTE,15
DARYL IMPEY,15
MARCEL KITTEL,50
NAIRO QUINTANA,50
MIKEL LANDA,50
THIBAUT PINOT,50
ROMAN KREUZIGER,50
SIMON YATES,50
ANDREW TALANSKY,50
GEORGE BENNETT,50
TONY GALLOPIN,50
EMANUEL BUCHMANN,50
TIM WELLENS,50
LILIAN CALMEJANE,50
DARIO CATALDO,50
STEFAN KüNG,50
SYLVAIN CHAVANEL,50
TIESJ BENOOT,50
HAIMAR ZUBELDIA,50
THOMAS DE GENDT,50
JACK BAUER,50
ALEXEY LUTSENKO,50
NICOLAS EDET,50
ANDRIY GRIVKO,50
DAMIEN HOWSON,50
REINARDT JANSE VAN RENSBURG,50
CHRISTOPHE LAPORTE,50
RICK ZABEL,50
MAXIME BOUET,50
IMANOL ERVITI,50
MICHAEL GOGL,50
JACOBUS VENTER,50
RETO HOLLENSTEN,50
PERRIG QUEMENEUR,50
YOANN OFFREDO,50
CHRISTIAN KNEES,50
ALBERT TIMMER,50
MARKEL IRIZAR,50
ROBERT WAGNER,50
ANDRE GREIPEL,100
FABIO ARU,100
DANIEL MARTIN,100
ROMAIN BARDET,100
MICHAL KWIATKOWSKI,100
JOHN DEGENKOLB,100
RAFAL MAJKA,100
EDVALD BOASSON HAGEN,100
SERGIO HENAO,100
ZDENEK STYBAR,100
PIERRE-ROGER LATOUR,100
SONNY COLBRELLI,100
ADRIEN PETIT,100
MICHAEL ALBASINI,100
CARLOS BETANCUR,100
JAN BAKELANTS,100
JAY MCCARTHY,100
THOMAS VOECKLER,100
DANIELE BENNATI,100
ALBERTO BETTIOL,100
SIMON GESCHKE,100
TIAGO MACHADO,100
ALESSANDRO DE MARCHI,100
KRISTIJAN DURASEK,100
BRICE FEILLU,100
PAWEL POLJANSKI,100
DANILO WYSS,100
PAUL MARTENS,100
LARS YTTING BAK,100
PIERRE-LUC PERICHON,100
AXEL DOMONT,100
MARCEL SIEBERG,100
JAVIER MORENO,100
TSGABU GEBREMARIAM GRMAY,100
JULIEN SIMON,100
MIKE TEUNISSEN,100
CYRIL LEMOINE,100
ALBERTO CONTADOR,200
PHILIPPE GILBERT,200
