cost,rider_name
3995000,DANIEL MCLAY
3995000,TIESJ BENOOT
3995000,HAIMAR ZUBELDIA
3995000,BEN SWIFT
3995000,MARK RENSHAW
3995000,THOMAS DE GENDT
3995000,JAN BAKELANTS
3995000,DANIEL NAVARRO
3995000,THOMAS VOECKLER
3995000,EDUARDO SEPULVEDA
3995000,JENS KEUKELEIRE
3995000,JüRGEN ROELANDTS
3995000,MARCO MARCATO
3990000,DARWIN ATAPUMA
3550000,ALESSANDRO DE MARCHI
3549000,ANDRIY GRIVKO
3518000,JONATHAN CASTROVIEJO NICOLAS
3500000,MACIEJ BODNAR
3500000,SIMON GESCHKE
3500000,ALEXEY LUTSENKO
3500000,ALBERTO BETTIOL
3500000,DAMIEN HOWSON
3500000,IGNATAS KONOVALOVAS
3500000,JACK BAUER
3495000,SERGE PAUWELS
3495000,VEGARD STAKE LAENGEN
3495000,KRISTIJAN DURASEK
3495000,RAMON SINKELDAM
3495000,GUILLAUME MARTIN
3495000,NICOLAS EDET
3495000,CHRISTOPHE LAPORTE
3495000,LAURENS TEN DAM
3495000,MAURITS LAMMERTINK
3495000,TIAGO MACHADO
3495000,ANDREY ZEITS
3495000,SIMON CLARKE
3495000,YUKIYA ARASHIRO
3495000,REINARDT JANSE VAN RENSBURG
3490000,ROBERT KISERLOVSKI
3125000,LUKE ROWE
3085000,NIKIAS ARNDT
3050000,MICHAEL SCHäR
3045000,AMAëL MOINARD
3045000,DANILO WYSS
3036000,DARYL IMPEY
3000000,IMANOL ERVITI
3000000,LARS YTTING BAK
3000000,DYLAN VAN BAARLE
3000000,JASHA SUTTERLIN
3000000,PAUL MARTENS
3000000,RETO HOLLENSTEN
3000000,DMITRIY GRUZDEV
3000000,PIERRE-LUC PERICHON
3000000,ROMAIN SICARD
3000000,JULIEN VERMOTE
2995000,TSGABU GEBREMARIAM GRMAY
2995000,MARCUS BURGHARDT
2995000,RUDIGER SELIG
2995000,JURAC SAGAN
2995000,PAWEL POLJANSKI
2995000,ADAM HANSEN
2995000,MARCO HALLER
2995000,BERNHARD EISEL
2995000,MATHEW HAYMAN
2995000,MARCEL SIEBERG
2995000,CYRIL GAUTIER
2995000,AXEL DOMONT
2995000,FREDERIK BACKAERT
2995000,FLORIAN SENECHAL
2995000,JULIEN SIMON
2995000,MAXIME BOUET
2995000,ROMAIN HARDY
2995000,MICHAEL GOGL
2995000,PATRICK BEVIN
2995000,BAKHTIYAR KOZHATAYEV
2995000,BRICE FEILLU
2995000,FLORIAN VACHON
2995000,LAURENT PICHON
2995000,BEN GASTAUER
2995000,GREGA BOLE
2995000,ONDREJ CINK
2995000,JAVIER MORENO
2995000,JANEZ BRAJKOVIC
2995000,JACOBUS VENTER
2995000,SCOTT THWAITES
2995000,YOHANN GENE
2995000,THOMAS BOUDAT
2995000,MANUELE MORI
2995000,ANDREA PASQUALON
2995000,DION SMITH
2990000,LUIS ANGEL MATE
2990000,RICK ZABEL
2630000,CHRISTIAN KNEES
2500000,ALBERT TIMMER
2500000,MIKE TEUNISSEN
2500000,TIMO ROOSEN
2500000,ROBERT WAGNER
2500000,NILS POLITT
2500000,KOEN DE KORT
2495000,FABIO SABATINI
2495000,MATTEO BONO
2495000,MARKEL IRIZAR
2495000,THOMAS DEGAND
2495000,YOANN OFFREDO
2495000,GUILLAUME VAN KEIRSBULCK
2495000,MARCO MINNAARD
2495000,PIETER VANSPEYBROUCK
2495000,CYRIL LEMOINE
2495000,DIMITRI CLAEYS
2495000,JACOPO GUARNIERI
2495000,TOM LEEZER
2495000,NATHAN BROWN
2495000,ELIE GESBERT
2495000,BORUT BOZIC
2495000,PERRIG QUEMENEUR
2495000,ANGELO TULIK
2495000,MICKAEL DELAGE
2495000,OLIVIER LE GAC
2490000,ROY CURVERS
