id,link,name
14,team/Team_LottoNL_Jumbo_2017,TEAM LOTTONL-JUMBO
64,team/ORICA_BikeExchange_2016,ORICA-BIKEEXCHANGE
71,team/Tinkoff_Saxo_2015,TINKOFF - SAXO
32,"team/Cofidis,_Solutions_Credits_2017","COFIDIS, SOLUTIONS CRéDITS"
11,team/Dimension_Data_2017,DIMENSION DATA
74,team/Bretagne_Seche_Environnement_2015,BRETAGNE - SÃ©CHÃ© ENVIRONNEMENT
51,team/IAM_Cycling_2016,IAM CYCLING
66,team/Poland_2016,POLAND
15,team/Cannondale_Drapac_Pro_Cycling_Team_2017,CANNONDALE-DRAPAC PRO CYCLING TEAM
91,team/Androni_Giocattoli_Venezuela_2014,ANDRONI GIOCATTOLI - VENEZUELA
59,team/VERVA_ActiveJet_Pro_Cycling_Team_2016,VERVA ACTIVEJET PRO CYCLING TEAM
43,team/Caja_Rural_Seguros_RGA_2017,CAJA RURAL - SEGUROS RGA
22,team/Aqua_Blue_Sport_2017,AQUA BLUE SPORT
87,team/Avanti_Racing_Team_2014,AVANTI RACING TEAM
61,team/Topsport_Vlaanderen_Baloise_2016,TOPSPORT VLAANDEREN - BALOISE
18,team/UniSA-Australia_2017,UNISA-AUSTRALIA
75,team/MTN_Qhubeka_2015,MTN - QHUBEKA
55,team/Fortuneo_Vital_Concept_2016,FORTUNEO - VITAL CONCEPT
80,team/Lotto_Belisol_2014,LOTTO BELISOL
31,team/Fortuneo_Oscaro_2017,FORTUNEO - OSCARO
89,team/Team_NetApp_–_Endura_2014,TEAM NETAPP Â– ENDURA
86,team/FDJfr_2014,FDJ.FR
19,team/AG2R_La_Mondiale_2017,AG2R LA MONDIALE
