class,id,link,name,no_stages,season
1,55,race.php?id=149868&c=2,MILANO-SANREMO,1,2015
2,56,race.php?id=149876&c=2,VOLTA CICLISTA A CATALUNYA,7,2015
1,57,race.php?id=149877&c=2,E3 HARELBEKE,1,2015
1,58,race.php?id=149878&c=2,GENT - WEVELGEM,1,2015
1,59,race.php?id=149879&c=2,RONDE VAN VLAANDEREN / TOUR DES FLANDRES,1,2015
2,60,race.php?id=149886&c=2,VUELTA CICLISTA AL PAIS VASCO,6,2015
1,61,race.php?id=149887&c=2,PARIS - ROUBAIX,1,2015
1,62,race.php?id=149888&c=2,AMSTEL GOLD RACE,1,2015
1,63,race.php?id=149889&c=2,LA FLèCHE WALLONNE,1,2015
1,64,race.php?id=149890&c=2,LIèGE - BASTOGNE - LIèGE,1,2015
2,65,race.php?id=149897&c=2,TOUR DE ROMANDIE,6,2015
2,66,race.php?id=149921&c=2,GIRO D'ITALIA,21,2015
2,67,race.php?id=149930&c=2,CRITéRIUM DU DAUPHINé,8,2015
2,68,race.php?id=149940&c=2,TOUR DE SUISSE,9,2015
2,69,race.php?id=149964&c=2,TOUR DE FRANCE,21,2015
1,70,race.php?id=149965&c=2,CLASICA CICLISTA SAN SEBASTIAN,1,2015
2,71,race.php?id=149973&c=2,TOUR DE POLOGNE,7,2015
2,72,race.php?id=149981&c=2,ENECO TOUR,7,2015
2,73,race.php?id=150005&c=2,VUELTA A ESPANA,21,2015
1,74,race.php?id=150006&c=2,VATTENFALL CYCLASSICS,1,2015
1,75,race.php?id=150012&c=2,GP OUEST FRANCE - PLOUAY,1,2015
1,76,race.php?id=150008&c=2,GRAND PRIX CYCLISTE DE QUéBEC,1,2015
1,77,race.php?id=150009&c=2,GRAND PRIX CYCLISTE DE MONTRéAL,1,2015
1,78,race.php?id=150010&c=2,IL LOMBARDIA,1,2015
2,79,race.php?id=138997&c=2,TOUR DOWN UNDER,6,2014
2,80,race.php?id=139006&c=2,PARIS - NICE,8,2014
2,81,race.php?id=139014&c=2,TIRRENO-ADRIATICO,7,2014
1,82,race.php?id=139015&c=2,MILANO-SANREMO,1,2014
2,83,race.php?id=139023&c=2,VOLTA CICLISTA A CATALUNYA,7,2014
1,84,race.php?id=139024&c=2,E3 HARELBEKE,1,2014
1,85,race.php?id=139025&c=2,GENT-WEVELGEM IN FLANDERS FIELDS,1,2014
1,86,race.php?id=139026&c=2,RONDE VAN VLAANDEREN / TOUR DES FLANDRES,1,2014
2,87,race.php?id=139033&c=2,VUELTA CICLISTA AL PAIS VASCO,6,2014
1,88,race.php?id=139034&c=2,PARIS - ROUBAIX,1,2014
1,89,race.php?id=139035&c=2,AMSTEL GOLD RACE,1,2014
1,90,race.php?id=139036&c=2,LA FLèCHE WALLONNE,1,2014
1,91,race.php?id=139037&c=2,LIèGE - BASTOGNE - LIèGE,1,2014
2,92,race.php?id=139044&c=2,TOUR DE ROMANDIE,6,2014
2,93,race.php?id=139069&c=2,GIRO D'ITALIA,21,2014
2,94,race.php?id=139078&c=2,CRITéRIUM DU DAUPHINé,8,2014
2,95,race.php?id=139088&c=2,TOUR DE SUISSE,9,2014
2,96,race.php?id=124228&c=2,TOUR DE FRANCE,21,2014
1,97,race.php?id=139113&c=2,CLASICA CICLISTA SAN SEBASTIAN,1,2014
2,98,race.php?id=139121&c=2,TOUR DE POLOGNE,7,2014
2,99,race.php?id=139129&c=2,ENECO TOUR,7,2014
2,100,race.php?id=139153&c=2,VUELTA A ESPAñA,21,2014
1,101,race.php?id=139154&c=2,VATTENFALL CYCLASSICS,1,2014
1,102,race.php?id=139155&c=2,GP OUEST FRANCE - PLOUAY,1,2014
1,103,race.php?id=139156&c=2,GRAND PRIX CYCLISTE DE QUéBEC,1,2014
1,104,race.php?id=139157&c=2,GRAND PRIX CYCLISTE DE MONTRéAL,1,2014
1,105,race.php?id=139158&c=2,IL LOMBARDIA,1,2014
2,106,race.php?id=139164&c=2,TOUR OF BEIJING,5,2014
