gc,height,id,one_day,pcs_rank,rider_name,sprint,time_trial,uci_rank,weight
250,1.88,159,1338,175.0,PETIT ADRIEN,1223,104,181.0,80.0
309,1.81,160,138,614.0,QUEMENEUR PERRIG,48,24,1015.0,67.0
820,1.77,161,252,560.0,SICARD ROMAIN,67,134,863.0,64.0
127,1.76,162,324,1448.0,TULIK ANGELO,206,22,1910.0,64.0
2587,1.84,163,440,98.0,ROLLAND PIERRE,135,101,208.0,67.0
376,1.8,164,518,81.0,BETTIOL ALBERTO,210,29,46.0,69.0
395,1.8,165,55,305.0,BEVIN PATRICK,132,126,343.0,75.0
343,1.82,166,75,998.0,BROWN NATHAN,25,101,1435.0,65.0
865,1.75,167,1007,421.0,CLARKE SIMON,425,192,481.0,63.0
496,1.97,168,552,332.0,PHINNEY TAYLOR,510,1746,720.0,82.0
2552,1.75,169,59,88.0,TALANSKY ANDREW,157,746,71.0,63.0
3395,1.73,170,2167,57.0,URAN RIGOBERTO,879,746,43.0,63.0
998,1.87,171,703,135.0,VAN BAARLE DYLAN,196,201,103.0,78.0
2691,1.73,172,961,,IZAGIRRE ION,520,1014,,60.0
865,1.7,173,1055,362.0,ARASHIRO YUKIYA,585,49,484.0,64.0
992,1.77,174,1623,686.0,BOLE GREGA,1711,35,614.0,68.0
660,1.8,175,1818,1099.0,BOZIC BORUT,2001,114,1194.0,67.0
3512,1.75,176,550,792.0,BRAJKOVIč JANEZ,217,891,915.0,65.0
100,1.8,177,21,504.0,CINK ONDREJ,0,5,554.0,66.0
434,1.76,178,2712,22.0,COLBRELLI SONNY,1742,47,23.0,71.0
550,1.75,179,82,313.0,GRMAY TSGABU,75,147,384.0,63.0
1446,1.81,180,427,468.0,MORENO JAVIER,178,213,511.0,63.0
480,1.73,181,51,241.0,MARTIN GUILLAUME,10,2,261.0,55.0
182,1.88,182,313,,BACKAERT FREDERIK,95,6,,77.0
587,1.76,183,85,561.0,DEGAND THOMAS,25,32,573.0,63.0
168,1.78,184,108,706.0,MINNAARD MARCO,85,12,802.0,65.0
256,1.89,185,1086,424.0,OFFREDO YOANN,780,71,325.0,68.0
156,1.74,186,719,284.0,PASQUALON ANDREA,744,31,457.0,68.0
461,1.79,187,273,307.0,SMITH DION,209,38,290.0,
519,1.92,188,647,345.0,VAN KEIRSBULCK GUILLAUME,192,281,280.0,85.0
213,1.86,189,688,501.0,VANSPEYBROUCK PIETER,531,41,480.0,72.0
149,1.85,190,602,184.0,MCLAY DANIEL,807,37,229.0,72.0
1210,1.84,191,622,279.0,BOUET MAXIME,365,233,333.0,67.0
701,1.88,192,163,529.0,FEILLU BRICE,54,58,827.0,66.0
577,1.81,193,135,1051.0,GESBERT ELIE,11,129,991.0,63.0
473,1.72,194,713,151.0,HARDY ROMAIN,385,18,154.0,62.0
366,1.81,195,306,409.0,PERICHON PIERRE-LUC,93,81,418.0,68.0
463,1.78,196,1266,149.0,PICHON LAURENT,780,60,111.0,69.0
593,1.73,197,289,353.0,SEPÚLVEDA EDUARDO,40,110,352.0,61.0
563,1.79,198,1048,721.0,VACHON FLORIAN,524,23,1001.0,65.0
